season,episode,is offensive,comment
1,1,NO,
1,2,NO,
1,4,NO,
1,7,NO,
1,9,YES,make assumption about lesbiens
1,12,YES,
1,13,NO,
1,14,YES,
1,16,NO,
1,23,YES,calims that homosexsaul realitonship worth less then hetrosexuals 
2,4,NO,
2,11,NO,
3,6,YES,
3,23,YES,because ross get mearried to a lesbien his opinion not Important
4,3,NO,
4,5,NO,
4,8,YES,
4,14,YES,
4,18,NO,
4,19,NO,
5,1,NO,
6,8,YES,
6,15,NO,
6,22,NO,
7,16,YES,
7,17,NO,
7,20,YES,
7,23,NO,
8,7,NO,
8,8,YES,
8,10,YES,
9,4,YES,
9,12,YES,
9,16,NO,
